Reporting starts,Campaign name,Ad set name,Ad name,Amount spent (USD),Impressions,Reach,Frequency,Link clicks,Results,Website purchases conversion value
2026-08-29,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",63.72,7007,4427,1.58,153,7,442.55
2026-08-29,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",48.34,3177,632,5.03,86,7,457.91
2026-08-29,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",36.93,3091,682,4.53,85,7,439.49
2026-08-29,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",61.67,9811,7249,1.35,98,0,0.00
2026-08-29,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",39.79,7760,5666,1.37,93,0,0.00
2026-08-29,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",36.99,4838,3337,1.45,140,12,1150.90
2026-08-30,"Summer Skincare Promotion","Broad 25-44","Hero Video A",128.53,12938,6255,2.07,262,15,923.04
2026-08-30,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",81.23,9016,4080,2.21,111,5,263.92
2026-08-30,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",62.55,7031,3917,1.80,161,7,468.16
2026-08-30,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",63.20,5099,1057,4.82,154,14,1047.68
2026-08-30,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",38.70,3184,772,4.13,88,7,501.55
2026-08-30,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",66.80,10826,7453,1.45,85,0,0.00
2026-08-30,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",45.28,8258,6567,1.26,84,0,0.00
2026-08-30,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",41.74,5103,3754,1.36,134,12,1117.26
2026-08-31,"Summer Skincare Promotion","Broad 25-44","Hero Video A",120.95,13202,7424,1.78,237,11,715.70
2026-08-31,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",92.72,9887,4895,2.02,132,5,314.37
2026-08-31,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",60.45,7114,4549,1.56,148,10,676.89
2026-08-31,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",57.10,4213,952,4.42,125,9,679.90
2026-08-31,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",34.77,2565,564,4.55,71,6,405.14
2026-08-31,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",64.47,10793,8419,1.28,93,0,0.00
2026-08-31,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",41.59,7397,5319,1.39,79,0,0.00
2026-08-31,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",42.86,5333,3744,1.42,124,11,874.17
2026-09-01,"Summer Skincare Promotion","Broad 25-44","Hero Video A",134.23,14308,6762,2.12,271,5,302.14
2026-09-01,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",93.76,8497,3352,2.53,133,2,107.21
2026-09-01,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",76.90,8523,4376,1.95,165,5,309.60
2026-09-01,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",64.47,4569,852,5.37,84,9,646.32
2026-09-01,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",39.49,2878,674,4.27,61,4,297.12
2026-09-01,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",74.74,11264,7447,1.51,116,0,0.00
2026-09-01,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",42.94,8082,5398,1.50,86,0,0.00
2026-09-01,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",43.19,4913,3021,1.63,124,10,883.11
2026-09-02,"Summer Skincare Promotion","Broad 25-44","Hero Video A",141.16,16728,7876,2.12,312,8,501.68
2026-09-02,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",69.74,6139,2555,2.40,86,2,114.20
2026-09-02,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",62.61,6736,3320,2.03,162,5,320.59
2026-09-02,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",60.36,4333,922,4.70,91,8,595.95
2026-09-02,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",39.86,2891,672,4.30,51,5,365.83
2026-09-02,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",76.51,14207,8608,1.65,121,0,0.00
2026-09-02,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",50.61,8572,5697,1.50,92,0,0.00
2026-09-02,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",36.15,4980,3213,1.55,126,9,853.85
2026-09-03,"Summer Skincare Promotion","Broad 25-44","Hero Video A",118.38,13505,6608,2.04,245,5,310.12
2026-09-03,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",88.19,8243,3461,2.38,122,2,123.78
2026-09-03,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",77.93,8633,4389,1.97,199,8,529.96
2026-09-03,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",46.75,3770,720,5.24,67,7,534.51
2026-09-03,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",45.69,3582,793,4.52,60,5,321.89
2026-09-03,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",74.54,12996,8975,1.45,106,0,0.00
2026-09-03,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",43.34,8294,5777,1.44,80,0,0.00
2026-09-03,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",38.50,4525,2980,1.52,104,7,660.60
2026-09-04,"Summer Skincare Promotion","Broad 25-44","Hero Video A",100.11,10045,4320,2.33,195,5,337.98
2026-09-04,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",95.43,8451,3271,2.58,128,2,120.72
2026-09-04,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",74.09,7716,4033,1.91,184,5,288.19
2026-09-04,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",48.46,3256,688,4.73,58,5,350.36
2026-09-04,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",42.40,2920,664,4.40,54,5,353.17
2026-09-04,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",66.13,11434,6831,1.67,96,0,0.00
2026-09-04,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",38.94,6386,4375,1.46,80,0,0.00
2026-09-04,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",32.23,4371,2374,1.84,124,10,964.55
2026-09-05,"Summer Skincare Promotion","Broad 25-44","Hero Video A",111.56,10585,4612,2.29,185,3,199.64
2026-09-05,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",70.16,7472,3233,2.31,100,2,109.09
2026-09-05,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",57.88,6772,3289,2.06,136,3,183.40
2026-09-05,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",52.45,3453,678,5.09,68,5,364.36
2026-09-05,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",41.43,3470,709,4.89,74,7,471.38
2026-09-05,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",71.63,13121,8916,1.47,133,0,0.00
2026-09-05,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",41.89,7089,5173,1.37,78,0,0.00
2026-09-05,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",32.22,3658,2175,1.68,81,8,724.30
2026-09-06,"Summer Skincare Promotion","Broad 25-44","Hero Video A",106.25,10641,4923,2.16,181,3,184.24
2026-09-06,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",87.12,9071,3898,2.33,120,3,177.68
2026-09-06,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",75.04,7941,4303,1.85,145,5,302.86
2026-09-06,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",63.93,4111,743,5.54,87,6,442.63
2026-09-06,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",40.06,2747,619,4.44,61,4,270.31
2026-09-06,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",68.14,12261,7684,1.60,112,0,0.00
2026-09-06,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",39.72,6662,4296,1.55,71,0,0.00
2026-09-06,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",34.34,4106,2583,1.59,103,10,799.16
2026-09-07,"Summer Skincare Promotion","Broad 25-44","Hero Video A",132.34,15311,7716,1.98,242,6,359.56
2026-09-07,"Summer Skincare Promotion","Broad 25-44","Carousel Ingredients",71.20,6911,3155,2.19,98,2,120.32
2026-09-07,"Summer Skincare Promotion","Lookalike 2%","UGC Testimonial",70.05,7306,3958,1.85,146,5,297.76
2026-09-07,"Retargeting - Cart Abandoners","ATC 7 day","Reminder Static",52.72,3607,740,4.88,79,8,560.16
2026-09-07,"Retargeting - Cart Abandoners","ATC 7 day","Discount Code 10",40.02,2861,619,4.62,51,3,223.57
2026-09-07,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 30s",63.12,11443,7582,1.51,116,0,0.00
2026-09-07,"Brand Awareness - Video Views","Interest: Wellness","Brand Film 15s",51.19,10019,6869,1.46,94,0,0.00
2026-09-07,"Best Sellers - Prospecting","Lookalike 1% Purchasers","Bundle Offer",33.16,4338,2389,1.82,124,10,893.10
